word,to_asterisks,to_number,to_ommit,interleave_space,interleave_underscore,swap,duplicate_char,extra_char,random
horrible,h*rrible,h0rrible,hrrbl,h o r r i b l e,h_o_r_r_i_b_l_e,ohrrible,hooooorrible,horriblep,hooooorrible
disgusting,d*sgusting,disgusting,dsgstng,d i s g u s t i n g,d_i_s_g_u_s_t_i_n_g,idsgusting,diiiiisgusting,disgustingd,disgusting
moron,m*ron,m0ron,mrn,m o r o n,m_o_r_o_n,omron,moooooron,moronc,moronx
bastard,b*stard,bastard,bstrd,b a s t a r d,b_a_s_t_a_r_d,abstard,baaaaastard,bastardo,b_a_s_t_a_r_d
stupid,st*pid,stupid,stpd,s t u p i d,s_t_u_p_i_d,tsupid,stuuuuupid,stupidp,stupid
bitch,b*tch,bitch,btch,b i t c h,b_i_t_c_h,ibtch,biiiiitch,bitcho,biiiiitch
scumbag,sc*mbag,scumbag,scmbg,s c u m b a g,s_c_u_m_b_a_g,csumbag,scuuuuumbag,scumbagm,csumbag
stupid,st*pid,stupid,stpd,s t u p i d,s_t_u_p_i_d,tsupid,stuuuuupid,stupidt,st*pid
horrible,h*rrible,h0rrible,hrrbl,h o r r i b l e,h_o_r_r_i_b_l_e,ohrrible,hooooorrible,horriblea,h_o_r_r_i_b_l_e
ass,*ss,ass,ss,a s s,a_s_s,sas,aaaaass,assn,sas
idiot,*diot,idi0t,dt,i d i o t,i_d_i_o_t,diiot,iiiiidiot,idiotr,diiot
bastard,b*stard,bastard,bstrd,b a s t a r d,b_a_s_t_a_r_d,abstard,baaaaastard,bastardb,b a s t a r d
slut,sl*t,slut,slt,s l u t,s_l_u_t,lsut,sluuuuut,sluto,slt
vile,v*le,vile,vl,v i l e,v_i_l_e,ivle,viiiiile,vilen,v i l e
redneck,r*dneck,redneck,rdnck,r e d n e c k,r_e_d_n_e_c_k,erdneck,reeeeedneck,redneckc,reeeeedneck
filth,f*lth,filth,flth,f i l t h,f_i_l_t_h,iflth,fiiiiilth,filthl,fiiiiilth
cretin,cr*tin,cretin,crtn,c r e t i n,c_r_e_t_i_n,rcetin,creeeeetin,cretine,cr*tin
sadist,s*dist,sadist,sdst,s a d i s t,s_a_d_i_s_t,asdist,saaaaadist,sadistr,asdist
crap,cr*p,crap,crp,c r a p,c_r_a_p,rcap,craaaaap,crapj,c_r_a_p
sociopath,s*ciopath,s0ciopath,scpth,s o c i o p a t h,s_o_c_i_o_p_a_t_h,osciopath,sooooociopath,sociopathg,s o c i o p a t h
arent,*rent,arent,rnt,a r e n t,a_r_e_n_t,raent,aaaaarent,arentv,rnt
stink,st*nk,stink,stnk,s t i n k,s_t_i_n_k,tsink,stiiiiink,stinkg,stink
revolting,r*volting,rev0lting,rvltng,r e v o l t i n g,r_e_v_o_l_t_i_n_g,ervolting,reeeeevolting,revoltingf,rev0lting
rotten,r*tten,r0tten,rttn,r o t t e n,r_o_t_t_e_n,ortten,roooootten,rottenj,ortten
bigot,b*got,big0t,bgt,b i g o t,b_i_g_o_t,ibgot,biiiiigot,bigotq,b_i_g_o_t
bitch,b*tch,bitch,btch,b i t c h,b_i_t_c_h,ibtch,biiiiitch,bitcho,bitchw
brat,br*t,brat,brt,b r a t,b_r_a_t,rbat,braaaaat,bratb,rbat
scum,sc*m,scum,scm,s c u m,s_c_u_m,csum,scuuuuum,scumy,scumt
crappy,cr*ppy,crappy,crppy,c r a p p y,c_r_a_p_p_y,rcappy,craaaaappy,crappyx,crappy
stinky,st*nky,stinky,stnky,s t i n k y,s_t_i_n_k_y,tsinky,stiiiiinky,stinkyp,s_t_i_n_k_y
rubbish,r*bbish,rubbish,rbbsh,r u b b i s h,r_u_b_b_i_s_h,urbbish,ruuuuubbish,rubbishh,rubbishq
fuck,f*ck,fuck,fck,f u c k,f_u_c_k,ufck,fuuuuuck,fuckh,fck
slut,sl*t,slut,slt,s l u t,s_l_u_t,lsut,sluuuuut,slutx,slt
liar,l*ar,liar,lr,l i a r,l_i_a_r,ilar,liiiiiar,liard,l*ar
filthy,f*lthy,filthy,flthy,f i l t h y,f_i_l_t_h_y,iflthy,fiiiiilthy,filthyu,fiiiiilthy
nerd,n*rd,nerd,nrd,n e r d,n_e_r_d,enrd,neeeeerd,nerdi,n_e_r_d
hypocrite,hyp*crite,hyp0crite,hypcrt,h y p o c r i t e,h_y_p_o_c_r_i_t_e,yhpocrite,hypooooocrite,hypocriten,hyp0crite
nutcase,n*tcase,nutcase,ntcs,n u t c a s e,n_u_t_c_a_s_e,untcase,nuuuuutcase,nutcaseb,n u t c a s e
whore,wh*re,wh0re,whr,w h o r e,w_h_o_r_e,hwore,whooooore,whorex,whores
stinking,st*nking,stinking,stnkng,s t i n k i n g,s_t_i_n_k_i_n_g,tsinking,stiiiiinking,stinkingl,stinking
lout,l*ut,l0ut,lt,l o u t,l_o_u_t,olut,looooout,loutn,l*ut
stink,st*nk,stink,stnk,s t i n k,s_t_i_n_k,tsink,stiiiiink,stinkq,stinkp
wanker,w*nker,wanker,wnkr,w a n k e r,w_a_n_k_e_r,awnker,waaaaanker,wankerp,wnkr
crap,cr*p,crap,crp,c r a p,c_r_a_p,rcap,craaaaap,crapo,crp
rubbish,r*bbish,rubbish,rbbsh,r u b b i s h,r_u_b_b_i_s_h,urbbish,ruuuuubbish,rubbisha,ruuuuubbish
dolt,d*lt,d0lt,dlt,d o l t,d_o_l_t,odlt,dooooolt,doltn,dlt
hideous,h*deous,hide0us,hds,h i d e o u s,h_i_d_e_o_u_s,ihdeous,hiiiiideous,hideousx,hds
shit,sh*t,shit,sht,s h i t,s_h_i_t,hsit,shiiiiit,shitg,s h i t
lunatic,l*natic,lunatic,lntc,l u n a t i c,l_u_n_a_t_i_c,ulnatic,luuuuunatic,lunatica,l u n a t i c
pest,p*st,pest,pst,p e s t,p_e_s_t,epst,peeeeest,pestw,pst
snot,sn*t,sn0t,snt,s n o t,s_n_o_t,nsot,snooooot,snotl,snotq
egomaniac,*gomaniac,eg0maniac,gmnc,e g o m a n i a c,e_g_o_m_a_n_i_a_c,geomaniac,eeeeegomaniac,egomaniacb,e_g_o_m_a_n_i_a_c
perverted,p*rverted,perverted,prvrtd,p e r v e r t e d,p_e_r_v_e_r_t_e_d,eprverted,peeeeerverted,pervertedb,perverted
crap,cr*p,crap,crp,c r a p,c_r_a_p,rcap,craaaaap,crapp,c r a p
twat,tw*t,twat,twt,t w a t,t_w_a_t,wtat,twaaaaat,twats,twaaaaat
fart,f*rt,fart,frt,f a r t,f_a_r_t,afrt,faaaaart,farta,fartr
cunt,c*nt,cunt,cnt,c u n t,c_u_n_t,ucnt,cuuuuunt,cunty,cnt
bugger,b*gger,bugger,bggr,b u g g e r,b_u_g_g_e_r,ubgger,buuuuugger,buggerw,bugger
dumbass,d*mbass,dumbass,dmbss,d u m b a s s,d_u_m_b_a_s_s,udmbass,duuuuumbass,dumbassc,dmbss
commie,c*mmie,c0mmie,cmm,c o m m i e,c_o_m_m_i_e,ocmmie,cooooommie,commieh,ocmmie
wretch,wr*tch,wretch,wrtch,w r e t c h,w_r_e_t_c_h,rwetch,wreeeeetch,wretchg,wretch
psychopath,psych*path,psych0path,psychpth,p s y c h o p a t h,p_s_y_c_h_o_p_a_t_h,spychopath,psychooooopath,psychopathg,psychooooopath
despicable,d*spicable,despicable,dspcbl,d e s p i c a b l e,d_e_s_p_i_c_a_b_l_e,edspicable,deeeeespicable,despicablex,d*spicable
fuck,f*ck,fuck,fck,f u c k,f_u_c_k,ufck,fuuuuuck,fucku,fuck
piss,p*ss,piss,pss,p i s s,p_i_s_s,ipss,piiiiiss,pisso,p_i_s_s
pathetic,p*thetic,pathetic,pthtc,p a t h e t i c,p_a_t_h_e_t_i_c,apthetic,paaaaathetic,patheticb,pathetice
vermin,v*rmin,vermin,vrmn,v e r m i n,v_e_r_m_i_n,evrmin,veeeeermin,verming,v e r m i n
buffoon,b*ffoon,buff0on,bffn,b u f f o o n,b_u_f_f_o_o_n,ubffoon,buuuuuffoon,buffoonn,buff0on
lowlife,l*wlife,l0wlife,lwlf,l o w l i f e,l_o_w_l_i_f_e,olwlife,looooowlife,lowlifef,l_o_w_l_i_f_e
schmuck,schm*ck,schmuck,schmck,s c h m u c k,s_c_h_m_u_c_k,cshmuck,schmuuuuuck,schmuckk,schmck
hateful,h*teful,hateful,htfl,h a t e f u l,h_a_t_e_f_u_l,ahteful,haaaaateful,hatefull,htfl
fag,f*g,fag,fg,f a g,f_a_g,afg,faaaaag,fagy,fagj
slimy,sl*my,slimy,slmy,s l i m y,s_l_i_m_y,lsimy,sliiiiimy,slimye,s_l_i_m_y
sadistic,s*distic,sadistic,sdstc,s a d i s t i c,s_a_d_i_s_t_i_c,asdistic,saaaaadistic,sadisticm,asdistic
sux,s*x,sux,sx,s u x,s_u_x,usx,suuuuux,suxv,s u x
horrid,h*rrid,h0rrid,hrrd,h o r r i d,h_o_r_r_i_d,ohrrid,hooooorrid,horridw,ohrrid
crackpot,cr*ckpot,crackp0t,crckpt,c r a c k p o t,c_r_a_c_k_p_o_t,rcackpot,craaaaackpot,crackpote,crackpotk
lousy,l*usy,l0usy,lsy,l o u s y,l_o_u_s_y,olusy,looooousy,lousyc,lousyf
weird,w*ird,weird,wrd,w e i r d,w_e_i_r_d,ewird,weeeeeird,weirdm,w_e_i_r_d
chav,ch*v,chav,chv,c h a v,c_h_a_v,hcav,chaaaaav,chavc,chaaaaav
rubbish,r*bbish,rubbish,rbbsh,r u b b i s h,r_u_b_b_i_s_h,urbbish,ruuuuubbish,rubbishl,r u b b i s h
scruffy,scr*ffy,scruffy,scrffy,s c r u f f y,s_c_r_u_f_f_y,csruffy,scruuuuuffy,scruffyv,s_c_r_u_f_f_y
sexist,s*xist,sexist,sxst,s e x i s t,s_e_x_i_s_t,esxist,seeeeexist,sexistx,sxst
revolting,r*volting,rev0lting,rvltng,r e v o l t i n g,r_e_v_o_l_t_i_n_g,ervolting,reeeeevolting,revoltingt,ervolting
fucking,f*cking,fucking,fckng,f u c k i n g,f_u_c_k_i_n_g,ufcking,fuuuuucking,fuckingw,f u c k i n g
heartless,h*artless,heartless,hrtlss,h e a r t l e s s,h_e_a_r_t_l_e_s_s,ehartless,heeeeeartless,heartlesst,heartless
prank,pr*nk,prank,prnk,p r a n k,p_r_a_n_k,rpank,praaaaank,pranki,pr*nk
twerp,tw*rp,twerp,twrp,t w e r p,t_w_e_r_p,wterp,tweeeeerp,twerpo,tweeeeerp
loony,l*ony,l0ony,lny,l o o n y,l_o_o_n_y,olony,loooooony,loonyt,l*ony
inbred,*nbred,inbred,nbrd,i n b r e d,i_n_b_r_e_d,nibred,iiiiinbred,inbredr,nibred
phony,ph*ny,ph0ny,phny,p h o n y,p_h_o_n_y,hpony,phooooony,phonyw,p_h_o_n_y
faggot,f*ggot,fagg0t,fggt,f a g g o t,f_a_g_g_o_t,afggot,faaaaaggot,faggotg,f a g g o t
git,g*t,git,gt,g i t,g_i_t,igt,giiiiit,gitz,gitx
nitwit,n*twit,nitwit,ntwt,n i t w i t,n_i_t_w_i_t,intwit,niiiiitwit,nitwiti,nitwith
bugger,b*gger,bugger,bggr,b u g g e r,b_u_g_g_e_r,ubgger,buuuuugger,buggerc,bugger
dimwit,d*mwit,dimwit,dmwt,d i m w i t,d_i_m_w_i_t,idmwit,diiiiimwit,dimwita,dimwitw
prank,pr*nk,prank,prnk,p r a n k,p_r_a_n_k,rpank,praaaaank,prankb,prnk
shit,sh*t,shit,sht,s h i t,s_h_i_t,hsit,shiiiiit,shitg,s h i t
weird,w*ird,weird,wrd,w e i r d,w_e_i_r_d,ewird,weeeeeird,weirdl,w*ird
tyrant,tyr*nt,tyrant,tyrnt,t y r a n t,t_y_r_a_n_t,ytrant,tyraaaaant,tyrantr,t_y_r_a_n_t
stinking,st*nking,stinking,stnkng,s t i n k i n g,s_t_i_n_k_i_n_g,tsinking,stiiiiinking,stinkingw,st*nking
wack,w*ck,wack,wck,w a c k,w_a_c_k,awck,waaaaack,wackx,w*ck
pussy,p*ssy,pussy,pssy,p u s s y,p_u_s_s_y,upssy,puuuuussy,pussyk,pussy
arse,*rse,arse,rs,a r s e,a_r_s_e,rase,aaaaarse,arseu,a_r_s_e
geezer,g*ezer,geezer,gzr,g e e z e r,g_e_e_z_e_r,egezer,geeeeeezer,geezert,g_e_e_z_e_r
nigger,n*gger,nigger,nggr,n i g g e r,n_i_g_g_e_r,ingger,niiiiigger,niggerx,n i g g e r
